REGION,2015,2018,2021p
NationalCapitalRegionNCR,4,2,3
CordilleraAdministrativeRegionCAR,23,12,10
RegionIIlocosRegion,19,10,14
RegionIICagayanValley,18,16,15
RegionIIICentralLuzon,11,7,11
RegionIVACALABARZON,12,7,10
MIMAROPARegion,25,15,21
RegionVBicolRegion,40,27,29
RegionVIWesternVisayas,25,16,19
RegionVIICentralVisayas,29,18,28
RegionVIIIEasternVisayas,41,31,29
RegionIXZamboangaPeninsula,38,33,30
RegionXNorthernMindanao,39,23,26
RegionXIDavaoRegion,24,19,17
RegionXIISOCCSKSARGEN,38,28,28
RegionXIIICaraga,40,31,33
AutonomousRegioninMuslimMindanaoBangsamoroAutonomousRegioninMuslimMindanaoARMMBARMM,59,62,37
